부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,4473043 ,4319 ,36127095 ,616213 ,757633 ,5732 ,1072326 ,5552 ,12164 ,10418 ,6772 ,4423 ,12890 ,8310 ,34007 ,375386 ,5316 ,5027 ,380609 ,79284 ,21112 ,9454442 ,22340 ,36036 ,8726 ,404320 ,13697 ,290950 ,89919 ,1150008 ,136990 ,51425 ,19945 ,55696429 ,17897539 ,0 ,450873 ,6185 ,-72564 ,0 ,1080949 ,19362982 ,75059411 
광산품,560 ,2180 ,25247 ,2393 ,29028 ,77446499 ,6330942 ,3735606 ,23191836 ,20109 ,17267 ,4945 ,8471 ,5901 ,6298 ,17672 ,37640435 ,36200 ,293535 ,0 ,0 ,4194 ,0 ,0 ,127 ,19170 ,4475 ,5392 ,96 ,8643 ,1181 ,847 ,50 ,148859299 ,15274 ,0 ,0 ,0 ,1989682 ,0 ,112927 ,2117883 ,150977182 
음식료품,9667065 ,8084 ,25928631 ,708534 ,67920 ,51843 ,1292355 ,32435 ,78624 ,68292 ,36292 ,31146 ,76816 ,44560 ,9909 ,402034 ,39439 ,10509 ,82868 ,973992 ,240375 ,46957398 ,185395 ,277859 ,10394 ,1213095 ,278197 ,691857 ,303314 ,2146388 ,1928183 ,402329 ,93727 ,94339859 ,66889874 ,0 ,0 ,0 ,1633300 ,0 ,8744802 ,77267976 ,171607835 
섬유 및 가죽제품,569224 ,14538 ,183925 ,19785309 ,416364 ,102643 ,1435127 ,181265 ,311759 ,459872 ,385493 ,233847 ,231086 ,1146042 ,1429600 ,1834297 ,136278 ,187303 ,380059 ,2097982 ,1582404 ,1307100 ,272186 ,536675 ,184155 ,728960 ,859650 ,1080795 ,318474 ,1296394 ,775472 ,1046354 ,46552 ,41557184 ,35675776 ,0 ,106615 ,17369 ,777457 ,0 ,24394896 ,60972113 ,102529297 
"목재 및 종이, 인쇄",679709 ,10732 ,2895843 ,819059 ,14197310 ,168327 ,1963464 ,457227 ,316057 ,771289 ,488616 ,802966 ,408156 ,265008 ,1968815 ,374565 ,294972 ,60267 ,4709184 ,2917006 ,1360618 ,1155485 ,1868370 ,1638198 ,194040 ,3484697 ,395193 ,712180 ,776819 ,713254 ,527946 ,561211 ,31161 ,47987744 ,1412281 ,0 ,0 ,0 ,1411172 ,0 ,3987127 ,6810580 ,54798324 
석탄 및 석유제품,1392722 ,112267 ,443378 ,306260 ,239253 ,5768475 ,32831138 ,1932111 ,702145 ,704613 ,276400 ,425775 ,430696 ,1052690 ,90171 ,689322 ,3625265 ,389064 ,2231838 ,5899994 ,23408023 ,2032724 ,447754 ,388057 ,1043650 ,3014432 ,650450 ,2001267 ,1915209 ,2406811 ,559034 ,919920 ,60919 ,98391827 ,16078119 ,0 ,0 ,0 ,806476 ,0 ,52130217 ,69014812 ,167406639 
화학제품,4294807 ,134635 ,3954306 ,6418542 ,3080099 ,2574208 ,89964107 ,1981647 ,1761754 ,4741676 ,18951364 ,9442543 ,4955080 ,16973764 ,2551035 ,2234215 ,2144295 ,622467 ,9714349 ,4357124 ,2062763 ,2467570 ,596121 ,211156 ,190764 ,5898850 ,1566950 ,615589 ,599402 ,25542761 ,704238 ,3494312 ,128460 ,234930953 ,11780871 ,0 ,0 ,0 ,6404132 ,0 ,103578616 ,121763619 ,356694572 
비금속광물제품,24301 ,7591 ,746161 ,48495 ,14179 ,88381 ,1261074 ,6170144 ,2752570 ,501413 ,3337063 ,1373900 ,455899 ,1410323 ,235881 ,155572 ,-77419 ,109541 ,23942714 ,72652 ,110056 ,409840 ,8387 ,5628 ,52577 ,206102 ,72999 ,104150 ,81163 ,89300 ,177741 ,95152 ,4875 ,44048405 ,22869 ,0 ,0 ,0 ,377037 ,0 ,4908965 ,5308871 ,49357276 
1차 금속제품,54805 ,5724 ,6413 ,19995 ,38658 ,256526 ,2523666 ,725737 ,49879752 ,20276792 ,5983809 ,11477108 ,11961063 ,18033662 ,1839275 ,1065368 ,150584 ,97691 ,17591406 ,-52039 ,130431 ,3899 ,-10048 ,-53 ,969 ,418363 ,125 ,1059 ,-21139 ,274475 ,-2799 ,-9358 ,41040 ,142762959 ,-716973 ,0 ,-3149232 ,-77370 ,693994 ,244862 ,44145460 ,41140741 ,183903700 
금속가공제품,71216 ,65384 ,1774017 ,301965 ,324079 ,1437533 ,1896976 ,555666 ,1341970 ,15134620 ,2737012 ,3949903 ,13854053 ,15402669 ,1290268 ,1378990 ,893116 ,132299 ,21546422 ,567247 ,856235 ,1025426 ,138275 ,176580 ,74313 ,780475 ,419160 ,502987 ,226349 ,213507 ,275445 ,906151 ,16665 ,90266973 ,1361581 ,0 ,3494964 ,3545616 ,1565803 ,0 ,11810996 ,21778960 ,112045933 
"컴퓨터, 전자 및 광학기기",126229 ,6967 ,154912 ,67924 ,115375 ,482226 ,579875 ,97427 ,397880 ,639452 ,93703043 ,6831118 ,6604787 ,6837803 ,173393 ,2041846 ,959051 ,216316 ,1734362 ,1802706 ,719245 ,638492 ,5721954 ,854213 ,572607 ,9339612 ,596241 ,708543 ,1234043 ,3847389 ,343045 ,2219292 ,104008 ,150471376 ,27461231 ,0 ,26569144 ,5120555 ,2433174 ,0 ,172911302 ,234495406 ,384966782 
전기장비,144627 ,27017 ,56002 ,71705 ,76349 ,203599 ,361144 ,178821 ,319144 ,659390 ,7678129 ,23002794 ,5711573 ,12694701 ,241648 ,1423015 ,2040896 ,210166 ,12135716 ,1051833 ,2021440 ,1075406 ,1588556 ,366352 ,568875 ,2780306 ,597785 ,519037 ,426294 ,376760 ,395492 ,1847835 ,43701 ,80896108 ,8491858 ,0 ,10501000 ,292063 ,964820 ,0 ,30913534 ,51163275 ,132059383 
기계 및 장비,208567 ,81885 ,254031 ,67270 ,72094 ,1108416 ,3217399 ,355335 ,1060589 ,2760798 ,2303805 ,1783413 ,27408788 ,7625756 ,97229 ,1902242 ,533529 ,615725 ,6781949 ,516278 ,681112 ,151872 ,86964 ,92858 ,177606 ,1274729 ,187906 ,236611 ,298607 ,146795 ,72444 ,220813 ,25219 ,62408634 ,3016283 ,0 ,57445603 ,530774 ,-1094930 ,0 ,59703266 ,119600996 ,182009630 
운송장비,260473 ,62127 ,31093 ,18882 ,51469 ,120015 ,296103 ,196053 ,144818 ,206926 ,28495 ,108187 ,1030185 ,66091570 ,17867 ,743675 ,45516 ,183005 ,107689 ,432365 ,8738560 ,55496 ,96129 ,49272 ,30643 ,1556911 ,396791 ,2442771 ,101176 ,209645 ,117517 ,5955405 ,35537 ,89962366 ,33634219 ,0 ,29569570 ,10818650 ,2035295 ,0 ,104150475 ,180208209 ,270170575 
기타 제조업 제품,12317 ,1963 ,161621 ,549294 ,31811 ,10735 ,46063 ,9173 ,23339 ,50713 ,47381 ,25988 ,46457 ,48653 ,1263957 ,225134 ,8483 ,42887 ,1973312 ,527711 ,207486 ,1383160 ,343132 ,408260 ,699515 ,1245265 ,463582 ,616152 ,2066938 ,506967 ,832007 ,338538 ,53201 ,14271195 ,9390194 ,0 ,3785123 ,440669 ,554306 ,2253878 ,4005162 ,20429332 ,34700527 
제조임가공 및 산업용 장비 수리,285055 ,122968 ,4520896 ,13787530 ,1848853 ,381367 ,6595448 ,1088807 ,3191173 ,4225298 ,7073715 ,3591250 ,5913319 ,6194746 ,1320541 ,3929870 ,332533 ,240323 ,705244 ,358671 ,170712 ,59159 ,232040 ,122931 ,58616 ,382347 ,640772 ,258919 ,307696 ,2649189 ,95479 ,35839 ,37721 ,70759027 ,35004 ,0 ,0 ,0 ,0 ,0 ,2051998 ,2087002 ,72846029 
"전력, 가스 및 증기",808040 ,97052 ,1432446 ,892389 ,1535531 ,2561029 ,6618389 ,1546148 ,7344732 ,1685931 ,2767560 ,827417 ,1131940 ,1416308 ,226392 ,684800 ,14036128 ,1159937 ,899656 ,3774736 ,2251598 ,2859349 ,1201677 ,1154447 ,2106720 ,7536899 ,503300 ,1405667 ,3373747 ,3526823 ,1247166 ,751021 ,79666 ,79444641 ,17681359 ,0 ,0 ,0 ,0 ,0 ,102274 ,17783633 ,97228274 
"수도, 폐기물처리 및 재활용서비스",107341 ,11538 ,537207 ,201462 ,474263 ,110275 ,1753635 ,327163 ,2688534 ,449679 ,95463 ,119331 ,477144 ,149446 ,34632 ,101222 ,178650 ,807477 ,153132 ,104969 ,362075 ,2296892 ,222967 ,279954 ,995267 ,604909 ,239784 ,450908 ,596605 ,1624151 ,247692 ,349648 ,24480 ,17177895 ,4939995 ,1009391 ,0 ,0 ,0 ,0 ,1006061 ,6955447 ,24133342 
건설,81793 ,16648 ,96322 ,24154 ,31961 ,72636 ,214729 ,40522 ,186844 ,102241 ,90855 ,134976 ,90053 ,87668 ,15458 ,34325 ,495637 ,44294 ,87266 ,302953 ,216840 ,337713 ,263359 ,92283 ,9163828 ,601004 ,158402 ,833035 ,176266 ,115029 ,122686 ,71105 ,33666 ,14436551 ,0 ,0 ,195624090 ,64458592 ,464036 ,0 ,192596 ,260739314 ,275175865 
도소매 및 상품중개서비스,2319170 ,56863 ,10017974 ,5711045 ,2184768 ,1671758 ,10544009 ,1280700 ,3154163 ,3144255 ,8554843 ,4684490 ,5135141 ,10910921 ,2044511 ,1770680 ,823507 ,380639 ,8268766 ,11545342 ,2876008 ,13651158 ,8618214 ,946289 ,616470 ,4398624 ,1253368 ,1664958 ,1942659 ,11467083 ,1760069 ,3148187 ,140115 ,146686747 ,91167036 ,0 ,11816446 ,1193650 ,1831527 ,531859 ,36153674 ,142694192 ,289380939 
운송서비스,1006255 ,626021 ,4942086 ,1916248 ,2195742 ,1063641 ,8612693 ,5056931 ,4422501 ,2494874 ,5179027 ,2212016 ,3586762 ,3935388 ,737753 ,1063113 ,314631 ,1468219 ,2406405 ,21374142 ,23796050 ,1142276 ,2617382 ,885104 ,570495 ,3991213 ,1727957 ,2587777 ,476873 ,603603 ,467290 ,783670 ,4991 ,114269129 ,30364852 ,0 ,289529 ,126241 ,256571 ,11021 ,34489231 ,65537445 ,179806574 
음식점 및 숙박서비스,621398 ,98004 ,596301 ,498752 ,593975 ,483326 ,2034026 ,439375 ,1107759 ,1052797 ,795020 ,587025 ,1105669 ,978522 ,212241 ,1465319 ,465992 ,465203 ,1142242 ,12175408 ,2630599 ,1862178 ,2421643 ,4717023 ,1681306 ,9084223 ,2982300 ,3037890 ,8070644 ,5936295 ,2086784 ,3537630 ,274786 ,75241655 ,103692954 ,0 ,0 ,0 ,0 ,0 ,11206638 ,114899592 ,190141247 
정보통신 및 방송 서비스,222073 ,19859 ,304988 ,143266 ,253336 ,541749 ,760174 ,219587 ,508708 ,453231 ,812113 ,358852 ,431945 ,472632 ,89487 ,390944 ,199994 ,312907 ,529069 ,10392905 ,1916939 ,1413840 ,20202467 ,9801131 ,1004223 ,18166811 ,1964391 ,3173395 ,3289551 ,753931 ,1915181 ,869335 ,87738 ,81976752 ,35312457 ,0 ,33344317 ,473334 ,962429 ,0 ,12412018 ,82504555 ,164481307 
금융 및 보험 서비스,1231012 ,191881 ,1140663 ,767994 ,784891 ,313829 ,2925052 ,601652 ,2027384 ,1488056 ,2227179 ,1069187 ,2212441 ,2521515 ,290040 ,555997 ,1413406 ,635065 ,5248209 ,8121220 ,2440378 ,3163912 ,1776562 ,28519482 ,20055799 ,4959435 ,455984 ,4989778 ,1699388 ,3701831 ,668610 ,1457081 ,0 ,109654913 ,74115438 ,0 ,0 ,0 ,0 ,0 ,4694414 ,78809852 ,188464765 
부동산서비스,66955 ,7782 ,359002 ,286917 ,193393 ,204319 ,460051 ,91461 ,448496 ,279710 ,200387 ,298599 ,159117 ,318381 ,139110 ,446283 ,239389 ,324662 ,781476 ,15499723 ,1530264 ,11059503 ,1660893 ,7292399 ,7982977 ,6551129 ,1511924 ,1738512 ,2240830 ,3964559 ,855992 ,1421193 ,43614 ,68659002 ,131970416 ,0 ,30992481 ,28424 ,0 ,0 ,366537 ,163357858 ,232016860 
"전문, 과학 및 기술 서비스",1085779 ,216737 ,4892959 ,1135816 ,1181015 ,4129335 ,14027258 ,1549762 ,5598399 ,2568089 ,5478248 ,3853117 ,3335702 ,7288128 ,894327 ,1436058 ,2184090 ,930999 ,19338807 ,15065524 ,3514519 ,3432292 ,9911317 ,6018860 ,1666882 ,13361866 ,3286518 ,2175864 ,2784811 ,1300191 ,1338723 ,729262 ,59250 ,145770504 ,4038911 ,0 ,79597335 ,10997256 ,0 ,0 ,18010280 ,112643782 ,258414286 
