부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
정보통신 및 방송 서비스,215464,19343,292044,137912,240882,508611,718079,214395,468024,436683,647934,342159,398798,414962,87858,358696,184395,288561,497736,10165150,1797032,1404584,15924271,9052905,977267,17679998,1923068,2546762,3157986,717944,1838110,844537,84747,74586897,33890267,0,32729936,466232,852252,0,12412018,80350705,154937602
금융 및 보험 서비스,1215538,189659,1120481,760399,773900,303696,2880814,591100,2001805,1466098,2196167,1050067,2182115,2478689,285404,545138,1401661,628976,5149861,7996055,2406928,3136041,1748437,26993028,19547136,4899022,443061,4822769,1667734,3649557,649633,1431826,0,106612795,73192331,0,0,0,0,0,4694414,77886745,184499540
부동산서비스,66939,7778,358381,286191,193093,200572,448177,91386,447973,279348,193438,296459,156887,300264,138912,446242,239376,324642,781150,15388700,1526305,11046802,1653509,7286280,7981989,6514181,1498156,663047,2240399,3963619,853296,1420683,43614,67337788,131538286,0,30992481,28424,0,0,366537,162925728,230263516
"전문, 과학 및 기술 서비스",1062984,214866,4607902,1048131,1093049,3820178,12474724,1477293,4816456,2339355,2912204,3251119,2665443,5222499,842751,1420224,2094925,898295,18319866,12893396,3160839,3221844,7417593,4878166,1572069,10974116,2839068,1780678,2651221,1229195,1137885,677429,59226,125074989,4010860,0,73406847,10722500,0,0,18010280,106150487,231225476
사업지원서비스,162157,175895,456035,237272,402073,555154,1110350,282380,1375932,759324,949363,486760,409927,2459877,115840,1535337,1075579,485596,8938722,6639170,5607732,1513161,3851423,7035111,10070350,8092258,7395067,3460605,1998308,1765563,2079863,407953,77538,81967675,5606674,0,0,0,0,0,11133563,16740237,98707912
"공공행정, 국방 및 사회보장",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24743,0,0,0,0,0,0,0,0,0,0,0,2823004,2847747,2337796,154168836,0,0,0,0,34634,156541266,159389013
교육서비스,3448,707,31774,6654,17151,34878,101111,18145,69927,70064,37272,49193,56808,34405,2919,102604,26821,11516,51824,561649,51536,76668,87445,275619,87917,266768,44570,5493,45826,15359,17587,53715,11382,2328755,56903741,70597013,0,0,0,0,229090,127729844,130058599
보건 및 사회복지 서비스,133063,12197,119018,49905,74632,54040,253982,54135,145943,176738,109962,110906,189013,222043,33653,121870,73779,88704,432906,1089904,204638,630592,223547,538456,170917,655019,215463,101077,264181,803933,160479,118586,13703,7646984,58201671,100693954,0,0,0,0,847430,159743055,167390039
"예술, 스포츠 및 여가 관련 서비스",84502,26158,98039,71048,89509,90544,287368,58396,247461,195418,74862,94397,149721,85429,27044,130192,61783,70490,263330,523564,768817,205954,1426314,580010,250348,1353651,239202,77107,776090,250648,1707422,278940,15362,10659120,35523957,2193986,483514,0,0,81961,1181335,39464753,50123873
기타 서비스,103873,21081,228738,65539,87056,141530,300103,114768,291739,248096,198590,197610,266760,176538,26858,270091,79876,197328,479542,1689013,2727479,551277,416512,807426,297135,1516215,1066461,252338,893355,349007,388021,339488,15131,14804574,43564208,0,0,0,0,0,912532,44476740,59281314
기타,330286,13514,77170,36052,64999,126096,829736,35842,107371,120691,153023,101695,112983,69271,26074,238429,107225,20439,127182,267257,177204,130992,171283,131317,299756,164036,110352,34613,23878,536915,31263,34751,77709,4889404,-364343,0,0,0,0,0,8,-364335,4525069
중간투입계,28784591,2238602,86452589,33174856,25851562,20490073,139800925,26059314,68802449,59590324,92852428,61474220,78774920,159646180,14607332,27698644,31493400,10363405,143613579,124420647,70089380,103786805,55898200,70527445,60152896,107657753,29296244,32498276,36077804,69502885,21251801,30659486,4521189,1928110204,819097424,328663180,423477509,90521773,17208609,2137854,756700712,2437807061,4365917265
